camp_name,2011-10-01|tbbc,2011-10-01|unhcr,2011-11-01|tbbc,2011-11-01|unhcr,2011-12-01|tbbc,2011-12-01|unhcr
Ban Don Yang,4144.0,2792.0,3867.0,2804.0,3883.0,2808.0
Ban Mae Surin,3709.0,2070.0,3579.0,1989.0,3579.0,1916.0
Mae La,50624.0,27890.0,50626.0,27886.0,46431.0,27629.0
Mae La Oon,14967.0,,13720.0,,13763.0,
Mae Ra Ma Luang,17472.0,10238.0,15863.0,10239.0,15901.0,10239.0
Nu Po,16689.0,8939.0,16689.0,8944.0,15325.0,8914.0
Tham Hin,7796.0,4279.0,7037.0,4270.0,7074.0,4281.0
Umpiem Mai,19210.0,11111.0,19210.0,11109.0,17609.0,11017.0
