report_date,A N D A M A N S E A Ee Tu Hta,A Nu Po,April,August,Ban Don Yang,Ban Mae Surin,Ban Mai Nai Soi,Bangkok Doi San Ju,Bay of Bengal Nupo Total Refugee s,Burman,December,February,Feburary,Female Male Total,Halochanee,It excludes all arrivals since,It excludes all since,January,January to April,July,June,Kanchanaburi M Ot o h n e r,Kanchanaburi Other,Karen,Karenni,Kilometers,LAOS,MRDC April,MRDC August,MRDC December,MRDC February,MRDC January,MRDC July,MRDC June,MRDC March,MRDC May,MRDC November,MRDC October,MRDC September,Mae La,Mae La Oon,Mae LaQon,Mae Ra Ma Luang,March,May,Mon,Most arrivals after,Most new arrivals since,N g a i S S o o n i Mae Ra Ma Luang,November,Nu Po,October,Other,R Verification Exercise conducted Jan-Apr,Ratchaburi Doi Dam,Refugee Camp,Refugee camp Burman,Refugees by Ethnicity,Sariang Mae La,September,Sr umepsteredretuges roms ter,TAN C H I N A Prachuap Khiri Khan Bee Ree,THAILAND Umpiem Mai,Tavoy,Tenasserim Suan Phung Doi Tai Lang,Tham Hin,Tham ia ase sz,The population of,This was last updated end December,This was last updated end June,This was updated end December,UNHCR records an additional,Umphang Tham Hin,Umpiem Mai,Wan Peing Fha
2022-08-01,,,,2022,,,,,,,,,,,,,,,,,,,570,810,950,,50100,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,
2022-09-01,,,,,,,,,,,,,,,,,,,,,,,560,810,940,,50100,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,340,,,2022,,,,,,,,,,,,,,,
2022-10-01,,,,,,,,,,,,,,,,,,,,,,,560,810,950,,50100,,,,,,,,,,,,,,,,,,,50,,,,,,2022,,,,,340,,,,,,,,,,,,,,,,,,
2022-11-01,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,,,,,,,,,,,2022,,,,,,,,,,,,560,812,930,,50100,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,340,,,,,,,,,,,,,,,,,,
2023-01-01,,,,,,,,,,,,,,,,,,2023,,,,,560,8110,940,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,340,,,,,,,,,,,,,,2022,,,,
2023-02-01,,,,,,,,,,,,2023,,,,,,,,,,,550,812,930,,50100,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,340,,,,,,,,,,,,2022,,,,,,
2023-03-01,,,,,,,,,,,,,,,,,,,,,,,550,815,920,,50100,,,,,,,,,,,,,,,,,2023,,50,,,,,,,,,,,340,,,,,,,,,,,,2022,,,,,,
2023-04-01,,,2023,,,,,,,,,,,,,,,,,,,,540,816,910,,50100,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,340,,,,,,,,,,,,2022,,,,,,
2023-05-01,,,,,2437,1897,7993,,90759,,,,,,,,,,,,,,,,,,50100,,,,,,,,,,,,,,8909,,,,,50,,,9799,,9345,,,,,,340,,34063,,,,10609,,,5712,,,2022,,,,,,
2023-06-01,,,,,2437,1897,7993,,90759,,,,,,,,,,,,,,,,,,50100,,,,,,,,,,,,,,8909,,,,,50,,,9799,,9345,,,,,,,,34063,,,,10609,,,5712,,,2022,,,,,,
2023-07-01,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,,,,,,,,,,,,,
2023-08-01,,,,,2437,1897,7993,,90759,,,,,,,,,,,,,,,,,,50100,,,,,,,,,,,,,,8909,,,,,50,,,9799,,9345,,,,,,,,34063,,,,10609,,,5712,,,2022,,,,,,
2023-09-01,,,,,2437,1897,7993,,90759,,,,,,,,,,,,,,,,,,50100,,,,,,,,,,,,,,8909,,,,,50,,,9799,,9345,,,,,,,,34063,2023,,,10609,,,5712,,,2022,,,,,,
2023-10-01,,,,,2437,1897,7993,,90759,,,,,,,,,,2015,,,,,,,,50100,,,,,,,,,,,,,,8909,,,,,50,,,9799,,9345,,,,,,,,34063,,,,10609,,,5712,,,2022,,,,,,
2023-11-01,,,,,2437,1897,7993,,90759,,,,,,,,,,2015,,,,,,,,50100,,,,,,,,,,,,,,8909,,9799,,,50,,,,,9345,,,,,,,,34063,,,,10609,,,,,,2022,,,,5712,,
2023-12-01,,,,,2437,1897,7993,,90759,,,,,,,,,,2015,,,,,,,,50100,,,,,,,,,,,,,,8909,,9799,,,50,,,,,9345,,,,,,,,34063,,,,10609,,,,,,2022,,,,5712,,
2024-01-01,,,,,2437,1897,7993,,,,,,,,,,,,2015,,,,,,,,50100,,,,,,,,,,,,,34063,9799,,9799,,,50,,,,,9345,,,,,,,,34063,,,,10609,,,,,,,,,,5712,10609,
2024-02-01,,,,,5712,8909,8909,,,,,,,,,,,,2015,,,,,,,,50100,,,,,,,,,,,,,34063,9799,,34063,,,50,,,,,9345,,,,,,,,34063,,,,10609,,,,,,,,,,5712,10609,
2024-03-01,,,,,2437,1897,7993,,,,,,,,,,,,2015,,,,,,,,50100,,,,,,,,,,,,,34063,8909,,9799,202405,,,,,,,9345,,,,,,,,34063,,,,10609,,,,,,,,,,5712,10609,
2024-04-01,,,,,2437,1897,7993,,,,,,,,,,,,2015,,,,,,,,50100,,,,,,,,,,,,,34063,8909,,34063,,,,,,,,9345,,,,,,,,34063,,,,10609,,,,,,,,,,5712,10609,
2024-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01,,,,,2437,1897,8909,,,,,,,,,,,,2015,,,,,,,,50100,,,,,,,,,,,,,34063,8909,,9799,,,,,,,,9345,,,,,,,,34063,,,,10609,,,,,,,,,,5712,10609,
2024-08-01,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01,,,,,5712,1897,7993,,,,,,,,,,,,2015,,,,,,,,50100,,,,,,,,,,,,,34063,8909,,9799,,,,,,,,9345,,,,,,,,34063,,,,10609,,,,,,,,,,5712,10609,
2024-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01,,,,,2437,1897,7993,,,,,,,,,,,,2015,,,,,,,,50100,,,,,,,,,,,,,34063,8909,,9799,,,,,,,,9345,,,,,572,,,34063,,,,10609,,,,,,,,,,5712,10609,
2024-12-01,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,,,,,2437,1897,7993,,,,,,,,,,,,2015,,,,,,,,50100,,,,,,,,,,,,,34063,8909,,9799,,,,,,,,9345,,,,,,,,34063,,,,10609,,,,,,,,,,5712,10609,
2025-03-01,,,,,2437,1897,7993,,,,,,,,,,,,2015,,,,,,,,50100,,,,,,,,,,,,,34063,8909,,34063,,,,,,,,9345,,,,,,,,34063,,,,10609,,,,,,,,,,5712,10609,
2025-04-01,,,,,2437,1897,7993,,,,,,,,,,,,2015,,,,,,,,50100,,,,,,,,,,,,,34063,8909,,34063,,,,,,,,9345,,,,,,,,34063,,,,10609,,,,,,,,,,5712,10609,
2025-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,
2025-06-01,,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
