canonical,aliases,start,end,merge_into,merge_start
Nu Po,"Nupo|Nu  Po",,,
Mae La,"Maela",,1994-12-31,Mae La,1995-01-01
Ban Mai Nai Soi,"BMN|Mai Nai Soi",,,
Ban Mae Surin,"BMS|Mae Surin",,,
Mae La Oon,"Mae  La  Oon|MLA",,,
Mae Ra Ma Luang,"Mae  Ra  Ma  Luang",,,
Umpiem Mai,"Umphiem|Umpiem",,,
Ban Don Yang,"",,,
Tham Hin,"",,,
